Destination Country,Continent of origin,Year,Value
Germany,Asia,2013,64341
Canada,Africa,2013,14598
Australia,Oceania,2013,5117
Australia,Africa,2013,7243
United Kingdom,Oceania,2013,2463
Germany,Northern America,2013,4690
France,Northern America,2013,4552
Canada,Europe,2013,18686
Australia,Europe,2013,10837
Australia,Northern America,2013,6528
United States,Europe,2013,62541.471
United States,Northern America,2013,29536.189
United States,Africa,2013,37427.815
United Kingdom,Africa,2013,33979
France,Oceania,2013,365
Canada,Northern America,2013,8403
Germany,Northern America,2014,6772
France,Northern America,2014,4578
Australia,Northern America,2014,6404
Australia,Europe,2014,10523
France,Europe,2014,47605
France,Africa,2014,95759
Canada,Oceania,2014,837
Australia,Latin America and the Caribbean,2014,5548
Canada,Northern America,2014,8547
United States,Asia,2014,623542.348
United States,Oceania,2014,5574.177
United Kingdom,Latin America and the Caribbean,2014,9164
United Kingdom,Europe,2014,139210
Germany,Asia,2014,75315
Canada,Africa,2014,16119
Australia,Oceania,2014,4921
Australia,Africa,2014,7453
France,Europe,2015,51248
France,Africa,2015,97990
Canada,Oceania,2015,846
Australia,Latin America and the Caribbean,2015,6249
United Kingdom,Asia,2015,232176
Canada,Latin America and the Caribbean,2015,8802
Canada,Europe,2015,23145
United States,Asia,2015,690037.044
United States,Oceania,2015,5825.314
United Kingdom,Europe,2015,129129
United Kingdom,Latin America and the Caribbean,2015,10161
Germany,Asia,2015,79666
Canada,Africa,2015,18309
Australia,Oceania,2015,4842
Australia,Africa,2015,7306
United Kingdom,Oceania,2015,2492
Germany,Northern America,2015,5812
France,Northern America,2015,4887
Australia,Northern America,2015,6385
Australia,Europe,2015,11395
Canada,Europe,2016,25311
Canada,Latin America and the Caribbean,2016,9714
Germany,Latin America and the Caribbean,2016,13203
Germany,Oceania,2016,974
Germany,Africa,2016,21077
France,Latin America and the Caribbean,2016,15682
Canada,Asia,2016,115608
Australia,Asia,2016,291860
United Kingdom,Oceania,2016,2609
Germany,Northern America,2016,6402
France,Northern America,2016,4961
Australia,Europe,2016,14160
Australia,Northern America,2016,6978
France,Europe,2016,50202
France,Africa,2016,102941
Canada,Oceania,2016,845
Australia,Latin America and the Caribbean,2016,6351
Germany,Latin America and the Caribbean,2017,12631
Germany,Oceania,2017,1106
Germany,Africa,2017,23641
France,Latin America and the Caribbean,2017,16308
Canada,Asia,2017,135091
Australia,Asia,2017,326665
United States,Latin America and the Caribbean,2017,77955.437
United Kingdom,Northern America,2017,22508
Germany,Europe,2017,100367
France,Asia,2017,56134
France,Europe,2017,52886
France,Africa,2017,112217
Canada,Oceania,2017,789
Australia,Latin America and the Caribbean,2017,13109
United Kingdom,Asia,2017,231832
Canada,Europe,2017,26022
Canada,Latin America and the Caribbean,2017,12273
France,Oceania,2019,258
Australia,Africa,2019,10971
Canada,Northern America,2019,9504
Germany,Latin America and the Caribbean,2019,16678
Germany,Oceania,2019,1532
Germany,Africa,2019,31028
France,Latin America and the Caribbean,2019,15406
Canada,Asia,2019,194274
Australia,Asia,2019,439706
United States,Latin America and the Caribbean,2019,79514.837
United Kingdom,Northern America,2019,26583
Germany,Europe,2019,122139
France,Asia,2019,54402
Germany,Europe,2018,121136
France,Asia,2018,51074
United States,Northern America,2018,26880.344
United States,Europe,2018,67526.417
United States,Africa,2018,47689.122
United Kingdom,Africa,2018,27741
France,Oceania,2018,445
Australia,Africa,2018,10109
United Kingdom,Asia,2018,244584
Canada,Europe,2018,27842.029
Canada,Latin America and the Caribbean,2018,13164.266
Germany,Latin America and the Caribbean,2018,15732
Germany,Africa,2018,28409
Germany,Oceania,2018,1447
France,Latin America and the Caribbean,2018,14364
Canada,Asia,2018,144414.951
Australia,Asia,2018,384570
Germany,Asia,2021,159183
Canada,Africa,2021,32157
Australia,Oceania,2021,2922
United Kingdom,Oceania,2021,2602
Germany,Northern America,2021,8240
France,Northern America,2021,3891
Australia,Europe,2021,12389
Australia,Northern America,2021,4813
United States,Europe,2021,57171.014
United States,Northern America,2021,26324.132
United States,Africa,2021,45044.671
United Kingdom,Africa,2021,43123
France,Oceania,2021,436
Australia,Africa,2021,8819
Canada,Northern America,2021,9105
Canada,Northern America,2020,9669
United States,Asia,2020,730158.873
United States,Oceania,2020,7056.539
United Kingdom,Latin America and the Caribbean,2020,10041
United Kingdom,Europe,2020,152227
Germany,Asia,2020,152576
Canada,Africa,2020,30069
Australia,Oceania,2020,3535
United States,Latin America and the Caribbean,2020,78807.792
United Kingdom,Northern America,2020,27089
Germany,Europe,2020,120766
France,Asia,2020,57471
United States,Europe,2020,66373.338
United States,Northern America,2020,26796.443
United States,Africa,2020,48274.832
United Kingdom,Africa,2020,33157
France,Oceania,2020,245
Australia,Africa,2020,10131
Germany,Latin America and the Caribbean,2013,10038
Germany,Africa,2013,16310
Germany,Oceania,2013,591
France,Latin America and the Caribbean,2013,13686
Canada,Asia,2013,88491
Australia,Asia,2013,212984
United States,Latin America and the Caribbean,2013,65790.367
United Kingdom,Northern America,2013,21262
Germany,Europe,2013,85786
France,Asia,2013,53086
France,Europe,2013,45947
France,Africa,2013,93625
Canada,Oceania,2013,780
Australia,Latin America and the Caribbean,2013,5042
United Kingdom,Asia,2013,223159
Canada,Latin America and the Caribbean,2013,8481
United States,Oceania,2013,5494.991
United States,Asia,2013,571366.946
United Kingdom,Europe,2013,127627
United Kingdom,Latin America and the Caribbean,2013,8199
United States,Latin America and the Caribbean,2014,69371.241
