Country Name,Value,Continent
Afghanistan,11.84943,Asia
Angola,9.71,Africa
Albania,60.31758118,Europe
Andorra,15.20427036,Europe
United Arab Emirates,51.39184835,Asia
Argentina,107.130661,South America
Armenia,58.75630951,Asia
Australia,112.6882935,Oceania
Austria,93.94007111,Europe
Azerbaijan,38.86608124,Asia
Burundi,6.287000179,Africa
Belgium,82.6882019,Europe
Benin,10.23151016,Africa
Burkina Faso,9.36093998,Africa
Bangladesh,23.39999962,Asia
Bulgaria,74.02764893,Europe
Bahrain,70.76303101,Asia
Bosnia & Herzegovina,43.57767868,Europe
Belarus,73.95913696,Europe
Belize,23.51840019,North America
Bolivia,51.39184835,South America
Brazil,56.83061981,South America
Barbados,51.39184835,North America
Brunei,51.39184835,Asia
Bhutan,17.70599937,Asia
Botswana,22.90464973,Africa
Central African Rep.,4.8,Africa
Canada,77.80229187,North America
Switzerland,71.89392853,Europe
Chile,96.22279358,South America
China,67.38761902,Asia
Cameroon,14.27,Africa
Colombia,58.31592178,South America
Comoros,8.4,Africa
Cabo Verde,23.62,Africa
Costa Rica,51.39184835,North America
Cuba,51.07854843,North America
Cyprus,96.53778839,Europe
Germany,75.6655426,Europe
Djibouti,4.7,Africa
Dominica,51.39184835,North America
Denmark,83.98229218,Europe
Dominican Rep.,58.62807846,North America
Algeria,54.20999146,Africa
Ecuador,51.39184835,South America
Eritrea,2.3,Africa
Spain,94.59037781,Europe
Estonia,73.15020752,Europe
Ethiopia,12.55,Africa
Finland,100.8680725,Europe
Fiji,51.39184835,Oceania
France,68.97485352,Europe
Gabon,21.07821,Africa
United Kingdom,77.01316071,Europe
Georgia,76.82131195,Asia
Ghana,19.18631935,Africa
Guinea,6.718999863,Africa
Guinea-Bissau,5.323,Africa
Equatorial Guinea,7.5,Africa
Greece,150.201767,Europe
Grenada,51.39184835,North America
Guatemala,51.39184835,North America
Guyana,51.39184835,South America
Honduras,51.39184835,North America
Croatia,72.33335876,Europe
Haiti,51.39184835,North America
Hungary,56.52434921,Europe
Indonesia,41.0019989,Asia
India,31.5739994,Asia
Ireland,78.77760315,Europe
Iraq,51.39184835,Asia
Iceland,86.52320862,Europe
Israel,58.99428177,Asia
Italy,71.287117,Europe
Jamaica,51.39184835,North America
Jordan,33.49145126,Asia
Japan,63.17026901,Asia
Kazakhstan,51.39184835,Asia
Kenya,19.98500061,Africa
Cambodia,13.8760004,Asia
Kiribati,51.39184835,Oceania
Kuwait,61.55804825,Asia
Lebanon,58.44414139,Asia
Liberia,11.92,Africa
Libya,55.0484725,Africa
Sri Lanka,21.36300087,Asia
Lesotho,16.13923,Africa
Lithuania,71.90931702,Europe
Luxembourg,20.73414993,Europe
Latvia,93.4839325,Europe
Morocco,42.82289124,Africa
Monaco,51.39184835,Europe
Moldova,61.30234146,Europe
Madagascar,5.581999779,Africa
Maldives,51.39184835,Asia
Mexico,45.65061951,North America
Macedonia,40.54917145,Europe
Mali,51.39184835,Africa
Malta,73.02269745,Europe
Myanmar,51.39184835,Asia
Montenegro,56.82814026,Europe
Mongolia,64.45899963,Asia
Mozambique,7.52319,Africa
Mauritania,7.21738,Africa
Mauritius,43.95907974,Africa
Malawi,2.411000013,Africa
Malaysia,40.91400146,Asia
Namibia,24.10,Africa
Niger,5.835,Africa
Nigeria,10.7826132,Africa
Nicaragua,19.89999962,North America
Netherlands,88.95426178,Europe
Norway,93.92430115,Europe
Nepal,14.38399982,Asia
Nauru,51.39184835,Oceania
New Zealand,79.41288757,Oceania
Oman,43.8433609,Asia
Pakistan,12.59799957,Asia
Panama,53.04459,North America
Peru,51.39184835,South America
Philippines,34.89099884,Asia
Palau,51.39184835,Oceania
Papua New Guinea,51.39184835,Oceania
Poland,70.9335022,Europe
Portugal,71.8742981,Europe
Paraguay,51.39184835,South America
Qatar,31.28140068,Asia
Romania,55.26560974,Europe
Rwanda,6.997000217,Africa
Saudi Arabia,74.39248657,Asia
Sudan,51.39184835,Africa
Senegal,15.73433018,Africa
Singapore,97.09890747,Asia
Sierra Leone,12.3214,Africa
El Salvador,51.39184835,North America
San Marino,56.70391083,Europe
Somalia,4.782135,Africa
Serbia,69.29070282,Europe
South Sudan,34.967,Africa
Sao Tome and Principe,51.39184835,Africa
Suriname,8.801739693,South America
Slovenia,82.24004364,Europe
Sweden,85.94261932,Europe
Eswatini,51.39184835,Africa
Seychelles,15.47105026,Africa
Chad,51.39184835,Africa
Togo,15.4,Africa
Thailand,49.66899872,Asia
Tajikistan,51.39184835,Asia
Turkmenistan,16.41584015,Asia
Timor-Leste,51.39184835,Asia
Tonga,51.39184835,Oceania
Trinidad and Tobago,51.39184835,North America
Tunisia,33.8982811,Africa
Tuvalu,51.39184835,Oceania
Tanzania,3.707999945,Africa
Uganda,6.357233,Africa
Ukraine,75.90794373,Europe
Uruguay,75.17138672,South America
United States of America,84.85508728,North America
Uzbekistan,21.79199982,Asia
Vanuatu,51.39184835,Oceania
Samoa,17.5720005,Oceania
South Africa,25.35660934,Africa
Zambia,13.528,Africa
Zimbabwe,8.92731,Africa
Russia,65.873292,Europe
Syria,4.543345,Asia
Yemen,2.134,Asia
Somaliland,5.4214,Africa
Dem. Rep. Congo,12.67823,Africa
Gambia,9.78742,Africa
North Korea,26.845,Asia
South Korea,96.3291,Asia
Cote d'Ivoire,10.74832,Africa
West Bank and Gaza,44.72139,Asia
Egypt,38.9,Africa
Vietnam,28.9731,Asia
Iran,70.0394,Asia
Kosovo,57.126041,Europe
Saint Vincent and the Grenadines,57.126041,North America
Turkey,47.35879,Asia
Saint Lucia,57.126041,North America
Venezuela,42.28911,South America
Antigua and Barbuda,57.126041,North America
Saint Kitts and Nevis,57.126041,North America
Slovakia,52.38,Europe
Czechia,65.45,Europe
Taiwan,80.12,Asia
Bahamas,57.126041,North America
Liechtenstein,90.56,Europe
S. Sudan,34.96,Africa
